openssl_101f,libressl_3,sim_value
dh_pub_decode,dh_priv_decode,0.9843916556570045
make_ocsp_response,make_ocsp_response,0.9842979118098092
CMS_SignerInfo_sign,PKCS7_SIGNER_INFO_sign,0.9842916100425185
CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_decrypt_ctr32,0.9842484173625194
ASN1_item_sign_ctx,ASN1_item_sign_ctx,0.9842184357326955
asn1_template_ex_d2i,asn1_template_ex_d2i,0.9841892434445778
cms_RecipientInfo_ktri_encrypt,cms_RecipientInfo_ktri_encrypt,0.9840767606848202
pkcs7_decrypt_rinfo,pkcs7_decrypt_rinfo,0.9838034935012556
UI_set_result,UI_set_result,0.9837189225066568
CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_encrypt_ctr32,0.9835008955474689
OBJ_obj2txt,OBJ_obj2txt,0.9834814450513085
PEM_SealInit,PEM_SealInit,0.9832901464102732
b64_read,b64_write,0.9832633606467172
X509_ATTRIBUTE_set1_data,X509_ATTRIBUTE_set1_data,0.9831333815828376
load_key,load_key,0.9830158519435865
TS_CONF_load_certs,TS_CONF_load_certs,0.9829855866340094
cms_EncryptedContent_init_bio,cms_EncryptedContent_init_bio,0.9828143839375065
b64_write,b64_read,0.9827963972940428
app_get_pass,app_get_pass,0.9826520847752946
do_ext_nconf,do_ext_nconf,0.9826016463343739
OCSP_REQUEST_print,OCSP_REQUEST_print,0.9825651198653684
BN_nist_mod_521,BN_nist_mod_521,0.9823997291148168
CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_decrypt_ctr32,0.9822143900891714
RSA_eay_public_encrypt,RSA_eay_public_encrypt,0.9821898055284174
BN_BLINDING_create_param,BN_BLINDING_create_param,0.9821561028058817
aesni_cbc_hmac_sha1_cipher,aesni_cbc_hmac_sha1_cipher,0.9820006812340234
str_copy,str_copy,0.9818932608670801
DES_quad_cksum,DES_quad_cksum,0.9818335665394988
ssl_get_new_session,ssl_get_new_session,0.9817544098509848
ec_GF2m_simple_set_compressed_coordinates,ec_GF2m_simple_add,0.9815004963376036
set_keygen_ctx,set_keygen_ctx,0.9814727641448597
dsa_sign_setup,dsa_sign_setup,0.9812914155995568
X509_verify_cert,X509_verify_cert_legacy_build_chain,0.9812815288379713
v2i_AUTHORITY_INFO_ACCESS,v2i_AUTHORITY_INFO_ACCESS,0.9811346838205987
do_passwd,do_passwd,0.9810357046234002
CRYPTO_ctr128_encrypt_ctr32,CRYPTO_ctr128_encrypt_ctr32,0.9809350350682132
ec_GF2m_simple_add,ec_GF2m_simple_set_compressed_coordinates,0.9806877199879925
EVP_SealInit,EVP_SealInit,0.980561883866446
pkey_rsa_keygen,pkey_rsa_keygen,0.9804275755050598
init_ssl_connection,init_ssl_connection,0.9803120775435807
pkey_rsa_sign,pkey_rsa_verifyrecover,0.9799449103996817
CRYPTO_ccm128_encrypt_ccm64,CRYPTO_ccm128_encrypt_ccm64,0.9798068940498532
pkey_GOST94cp_decrypt,pkey_gost01_decrypt,0.9797676548880013
ecparam_main,ecparam_main,0.9797532023588001
ec_GF2m_simple_add,ec_GFp_simple_dbl,0.979684043967521
ec_GFp_simple_point_get_affine_coordinates,ec_GFp_simple_set_compressed_coordinates,0.9795583314010943
ec_GF2m_simple_is_on_curve,ec_GF2m_simple_set_compressed_coordinates,0.9795171253771469
do_cmd,do_cmd,0.9794975148403189
rsa_builtin_keygen,rsa_builtin_keygen,0.9793596511062022
ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_is_on_curve,0.9793274468987122
pkey_GOST01cp_decrypt,pkey_gost01_decrypt,0.9791783067676427
PKCS7_dataDecode,PKCS7_dataDecode,0.9790462870441425
ASN1_item_ex_d2i,asn1_item_ex_d2i,0.9789517966139638
policy_section,policy_section,0.9787850968941312
ec_GFp_simple_dbl,ec_GF2m_simple_add,0.9787208425398223
CRYPTO_xts128_encrypt,CRYPTO_xts128_encrypt,0.9787121796444342
des_cfb1_cipher,des_cfb1_cipher,0.9786176653225072
ec_GFp_simple_is_on_curve,ec_GFp_simple_set_compressed_coordinates,0.9785964555036412
ec_group_new_from_data,ec_group_new_from_data,0.9785872310814752
dhparam_main,dh_main,0.9785096896971519
dsaparam_main,dsaparam_main,0.9782827724537322
CRYPTO_ccm128_decrypt,CRYPTO_ccm128_decrypt,0.9782710825549301
ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_point_get_affine_coordinates,0.9781141978168019
pkey_rsa_verifyrecover,pkey_rsa_sign,0.9780573611732757
do_print_ex,do_print_ex,0.9779488517745303
BN_mod_exp2_mont,BN_mod_exp_mont_internal,0.9778026025406497
add_attribute_object,add_attribute_object,0.977702090671577
compute_wNAF,compute_wNAF,0.9776715102624671
ec_GFp_simple_add,ec_GF2m_simple_add,0.9776349522677419
ASN1_bn_print,ASN1_bn_print,0.9775980911983032
v2i_issuer_alt,v2i_subject_alt,0.9774199786292486
BN_hex2bn,BN_hex2bn,0.9773381659528273
